Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct
1970,6,87,Vic Bartolome,C,7-0,230.0,21.0,Oregon State,Sr,,1,76118.0,US,1971,0.0
1970,7,104,Joe Bergman,PF,6-9,210.0,,Creighton,Jr,,0,,,,
1970,8,121,Jeff Sewell,,,,,Marquette,Sr,,0,,,,
1970,9,138,Lou Small,,,,,Nevada,Sr,,0,,,,
1970,10,155,Coby Dietrick,FC,6-10,220.0,21.0,San Jose State,Sr,,7,76567.0,US,1982,0.0
1969,1,7,Bob Portman,GF,6-5,200.0,22.0,Creighton,Sr,,4,77878.0,US,1972,0.0
1969,2,22,Ed Siudet,F,6-7,205.0,,Holy Cross,Sr,,0,,,,
1969,3,36,Tom Hagan,G,6-3,185.0,22.0,Vanderbilt,Sr,,0,,,,
1969,4,50,Lee Lafayette,F,6-6,,,Michigan State,Sr,,0,,,,
1969,5,64,Willie Wise,SF,6-5,210.0,22.0,Drake,Sr,,2,78602.0,US,1977,0.0
1969,6,78,Dan Obravak,F,6-9,,,Dayton,Sr,,0,,,,
1969,7,92,Pat Foley,,,,,Pacific,Sr,,0,,,,
1969,8,106,Steve Rippe,F,,,,UC Santa Barbara,Sr,,0,,,,
1969,9,120,Greg Reed,F,,,,Sacramento State,Sr,,0,,,,
1969,10,134,Dick Chapman,,,,,San Francisco State,Sr,,0,,,,
1969,11,148,Rich Holmberg,,,,,Saint Mary's,Sr,,0,,,,
1969,12,161,Joe Callahan,,,,,San Francisco State,Sr,,0,,,,
1968,1,9,Ron Williams,G,6-3,188.0,23.0,West Virginia,Sr,,8,78567.0,US,1975,0.0
1968,3,29,Don Sidle,F,6-8,215.0,21.0,Oklahoma,Sr,,0,,,,
1968,4,43,Edgar Lacey,F,6-6,190.0,23.0,UCLA,Jr,,0,,,,
1968,5,57,Jim Eakins,C,6-11,215.0,21.0,Brigham Young,Sr,,2,76628.0,US,1977,0.0
1968,6,71,Bob Allen,F,6-9,205.0,21.0,Marshall,Sr,,1,76028.0,US,1968,0.0
1968,7,85,Dave Reasor,,,,,West Virginia,Sr,,0,,,,
1968,8,99,Walt Platkowski,,,,,Bowling Green,Sr,,0,,,,
1968,9,113,Art Wilmore,,,,,San Francisco,Sr,,0,,,,
1968,10,127,Bob Heaney,F,6-7,,,Santa Clara,Sr,,0,,,,
1968,11,140,Jerry Chandler,SF,,,,College of Southern Nevada,Sr,,0,,,,
1968,12,153,Bob Wolfe,,,,,California,Sr,,0,,,,
1967,1,10,Dave Lattin,PF,6-6,225.0,23.0,UTEP,Sr,,2,77342.0,US,1968,0.0
1967,3,27,Bill Turner,F,6-7,220.0,23.0,Akron,Jr,,6,78385.0,US,1972,0.0
1967,4,39,Bobby Lewis,SG,6-3,175.0,22.0,North Carolina,Sr,,4,77385.0,US,1970,0.0
1967,5,51,Mike Lynn,F,6-7,215.0,21.0,UCLA,Jr,,2,,,,
1967,6,63,Dale Schlueter,C,6-10,255.0,21.0,Colorado State,Sr,,10,78084.0,US,1977,0.0
1967,7,75,Sonny Bustion,,,,,CSU Pueblo,Sr,,0,,,,
1967,8,87,Bob Krulish,F,,,,Pacific,Sr,,0,,,,
1967,9,98,Richard Dean,C,6-6,230.0,,Syracuse,Sr,,0,,,,
1967,10,109,Joe Galbo,,,,,San Francisco State,Sr,,0,,,,
1967,11,119,Bill Morgan,,,,,New Mexico,Sr,,0,,,,
1967,12,130,Dave Fox,,,,,Pacific,Sr,,0,,,,
1966,1,3,Clyde Lee,FC,6-10,205.0,22.0,Vanderbilt,Sr,,10,77357.0,US,1975,0.0
1966,2,13,Joe Ellis,F,6-6,175.0,22.0,San Francisco,Sr,,8,76661.0,US,1973,0.0
1966,3,23,Steve Chubin,G,6-2,200.0,22.0,Rhode Island,Sr,,0,,,,
1966,4,33,Steve Vacendak,G,6-1,185.0,21.0,Duke,Sr,,0,,,,
